identificador,p_desercion,resultado_modelo
126499,0.935,Deserta
126508,0.8684,Deserta
126509,0.4825,No deserta
126684,0.935,Deserta
126605,0.149,No deserta
126606,0.9258,Deserta
126628,0.2563,No deserta
126728,0.9573,Deserta
126804,0.1599,No deserta
126856,0.0726,No deserta
126889,0.5014,Deserta
126910,0.3361,No deserta
126911,0.1482,No deserta
126913,0.3365,No deserta
117522,0.1335,No deserta
126972,0.2269,No deserta
126973,0.2268,No deserta
126974,0.2159,No deserta
127002,0.8443,Deserta
127020,0.9018,Deserta
127021,0.962,Deserta
127022,0.8765,Deserta
94883,0.192,No deserta
127081,0.4241,No deserta
127083,0.2885,No deserta
127159,0.4914,No deserta
127160,0.8647,Deserta
127194,0.7987,Deserta
127195,0.931,Deserta
127193,0.8896,Deserta
127196,0.7956,Deserta
99280,0.1976,No deserta
127335,0.3307,No deserta
127398,0.8155,Deserta
127400,0.1123,No deserta
127462,0.5612,Deserta
127461,0.1605,No deserta
127460,0.1558,No deserta
127463,0.6436,Deserta
122446,0.3382,No deserta
123238,0.896,Deserta
127520,0.8954,Deserta
127521,0.7502,Deserta
127570,0.7411,Deserta
127572,0.0917,No deserta
115795,0.1708,No deserta
127611,0.122,No deserta
127612,0.256,No deserta
104225,0.9017,Deserta
126068,0.1251,No deserta
119368,0.9209,Deserta
127675,0.9302,Deserta
83068,0.2105,No deserta
127761,0.8648,Deserta
127767,0.2015,No deserta
110457,0.8451,Deserta
127832,0.037,No deserta
127894,0.8891,Deserta
127921,0.4964,No deserta
127923,0.1541,No deserta
127924,0.1066,No deserta
127922,0.1263,No deserta
127925,0.8961,Deserta
127926,0.6967,Deserta
127955,0.8973,Deserta
128002,0.0777,No deserta
98828,0.2577,No deserta
79953,0.879,Deserta
110311,0.7815,Deserta
118159,0.8152,Deserta
128106,0.1282,No deserta
128105,0.0647,No deserta
128103,0.7233,Deserta
128107,0.9164,Deserta
113978,0.0802,No deserta
81868,0.445,No deserta
116956,0.849,Deserta
128231,0.1369,No deserta
104279,0.8204,Deserta
128330,0.079,No deserta
128331,0.8732,Deserta
128332,0.1334,No deserta
128335,0.6514,Deserta
128336,0.3598,No deserta
128348,0.5775,Deserta
119529,0.1428,No deserta
93103,0.1186,No deserta
128478,0.1035,No deserta
128479,0.8777,Deserta
128480,0.6475,Deserta
128515,0.8486,Deserta
72925,0.2181,No deserta
118039,0.8962,Deserta
117666,0.9487,Deserta
128643,0.3943,No deserta
128644,0.1622,No deserta
128695,0.7232,Deserta
128696,0.1911,No deserta
128697,0.8808,Deserta
100349,0.3045,No deserta
128781,0.3614,No deserta
128799,0.881,Deserta
116216,0.9472,Deserta
109175,0.7946,Deserta
129018,0.7702,Deserta
112865,0.7332,Deserta
95890,0.4014,No deserta
129089,0.1019,No deserta
129090,0.293,No deserta
108220,0.8602,Deserta
148472,0.1513,No deserta
113142,0.9298,Deserta
129186,0.8439,Deserta
147504,0.9108,Deserta
110953,0.89,Deserta
129233,0.8814,Deserta
129267,0.6985,Deserta
129308,0.6141,Deserta
61738,0.8329,Deserta
129369,0.9121,Deserta
129378,0.1039,No deserta
109113,0.1533,No deserta
105879,0.2199,No deserta
129482,0.1513,No deserta
129483,0.1847,No deserta
129509,0.8811,Deserta
74989,0.3838,No deserta
147653,0.5546,Deserta
86615,0.5878,Deserta
106172,0.6298,Deserta
105210,0.8521,Deserta
124022,0.7998,Deserta
96295,0.6384,Deserta
85552,0.0813,No deserta
112862,0.8068,Deserta
129682,0.9131,Deserta
129693,0.1998,No deserta
114028,0.1513,No deserta
113587,0.9247,Deserta
129770,0.1922,No deserta
129787,0.267,No deserta
129803,0.9162,Deserta
129837,0.0966,No deserta
129930,0.8263,Deserta
129929,0.082,No deserta
129981,0.0726,No deserta
129982,0.0779,No deserta
107947,0.784,Deserta
130129,0.3676,No deserta
130160,0.9178,Deserta
130163,0.1234,No deserta
130222,0.0696,No deserta
130223,0.9178,Deserta
130266,0.0743,No deserta
130269,0.1703,No deserta
130332,0.0875,No deserta
130333,0.1157,No deserta
130370,0.5833,Deserta
130412,0.1248,No deserta
130413,0.6789,Deserta
130439,0.553,Deserta
130478,0.8071,Deserta
130479,0.1676,No deserta
130520,0.8889,Deserta
130513,0.0693,No deserta
130514,0.6152,Deserta
130640,0.8899,Deserta
